gate_error,measurement_error,classical_error,min_experimental_error,max_experimental_error,avg_experimental_error
0.0,0.0,1e-18,0.0,0.0,0.0
0.0,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.0,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.0,0.003333333333333333,1e-18,0.0,0.0,0.0
0.0,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.0,0.005555555555555556,1e-18,0.0,0.0,0.0
0.0,0.006666666666666666,1e-18,0.0,0.0,0.0
0.0,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.0,0.008888888888888889,1e-18,0.0,0.0,0.0
0.0,0.01,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.0,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.003333333333333333,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.005555555555555556,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.006666666666666666,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.008888888888888889,1e-18,0.0,0.0,0.0
0.0011111111111111111,0.01,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.0,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.003333333333333333,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.005555555555555556,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.006666666666666666,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.008888888888888889,1e-18,0.0,0.0,0.0
0.0022222222222222222,0.01,1e-18,0.0,0.0,0.0
0.003333333333333333,0.0,1e-18,0.0,0.0,0.0
0.003333333333333333,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.003333333333333333,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.003333333333333333,0.003333333333333333,1e-18,0.0,0.0,0.0
0.003333333333333333,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.003333333333333333,0.005555555555555556,1e-18,0.0,0.0,0.0
0.003333333333333333,0.006666666666666666,1e-18,0.0,0.0,0.0
0.003333333333333333,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.003333333333333333,0.008888888888888889,1e-18,0.0,0.0,0.0
0.003333333333333333,0.01,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.0,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.003333333333333333,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.005555555555555556,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.006666666666666666,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.008888888888888889,1e-18,0.0,0.0,0.0
0.0044444444444444444,0.01,1e-18,0.0,0.0,0.0
0.005555555555555556,0.0,1e-18,0.0,0.0,0.0
0.005555555555555556,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.005555555555555556,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.005555555555555556,0.003333333333333333,1e-18,0.0,0.0,0.0
0.005555555555555556,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.005555555555555556,0.005555555555555556,1e-18,0.0,0.0,0.0
0.005555555555555556,0.006666666666666666,1e-18,0.0,0.0,0.0
0.005555555555555556,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.005555555555555556,0.008888888888888889,1e-18,0.0,0.0,0.0
0.005555555555555556,0.01,1e-18,0.0,0.0,0.0
0.006666666666666666,0.0,1e-18,0.0,0.0,0.0
0.006666666666666666,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.006666666666666666,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.006666666666666666,0.003333333333333333,1e-18,0.0,0.0,0.0
0.006666666666666666,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.006666666666666666,0.005555555555555556,1e-18,0.0,0.0,0.0
0.006666666666666666,0.006666666666666666,1e-18,0.0,0.0,0.0
0.006666666666666666,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.006666666666666666,0.008888888888888889,1e-18,0.0,0.0,0.0
0.006666666666666666,0.01,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.0,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.003333333333333333,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.005555555555555556,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.006666666666666666,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.008888888888888889,1e-18,0.0,0.0,0.0
0.0077777777777777776,0.01,1e-18,0.0,0.0,0.0
0.008888888888888889,0.0,1e-18,0.0,0.0,0.0
0.008888888888888889,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.008888888888888889,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.008888888888888889,0.003333333333333333,1e-18,0.0,0.0,0.0
0.008888888888888889,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.008888888888888889,0.005555555555555556,1e-18,0.0,0.0,0.0
0.008888888888888889,0.006666666666666666,1e-18,0.0,0.0,0.0
0.008888888888888889,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.008888888888888889,0.008888888888888889,1e-18,0.0,0.0,0.0
0.008888888888888889,0.01,1e-18,0.0,0.0,0.0
0.01,0.0,1e-18,0.0,0.0,0.0
0.01,0.0011111111111111111,1e-18,0.0,0.0,0.0
0.01,0.0022222222222222222,1e-18,0.0,0.0,0.0
0.01,0.003333333333333333,1e-18,0.0,0.0,0.0
0.01,0.0044444444444444444,1e-18,0.0,0.0,0.0
0.01,0.005555555555555556,1e-18,0.0,0.0,0.0
0.01,0.006666666666666666,1e-18,0.0,0.0,0.0
0.01,0.0077777777777777776,1e-18,0.0,0.0,0.0
0.01,0.008888888888888889,1e-18,0.0,0.0,0.0
0.01,0.01,1e-18,0.0,0.0,0.0
